15:53:42.058368 s140.233.174.58.60362 d151.101.117.67.443   93      
15:53:42.071170 s151.101.117.67.443   d140.233.174.58.60362 0       
15:53:42.071589 s151.101.117.67.443   d140.233.174.58.60362 51      
15:53:42.071628 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.071978 s140.233.174.58.60362 d151.101.117.67.443   53      
15:53:42.072000 s140.233.174.58.60362 d151.101.117.67.443   56      
15:53:42.072109 s140.233.174.58.60362 d151.101.117.67.443   42      
15:53:42.072184 s140.233.174.58.60362 d151.101.117.67.443   67      
15:53:42.084648 s151.101.117.67.443   d140.233.174.58.60362 0       
15:53:42.084957 s151.101.117.67.443   d140.233.174.58.60362 57      
15:53:42.084958 s151.101.117.67.443   d140.233.174.58.60362 0       
15:53:42.084998 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.085156 s151.101.117.67.443   d140.233.174.58.60362 38      
15:53:42.085157 s151.101.117.67.443   d140.233.174.58.60362 0       
15:53:42.085180 s140.233.174.58.60362 d151.101.117.67.443   38      
15:53:42.085193 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.085195 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.086029 s151.101.117.67.443   d140.233.174.58.60362 0       
15:53:42.089109 s151.101.117.67.443   d140.233.174.58.60362 1374    
15:53:42.089156 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.089420 s151.101.117.67.443   d140.233.174.58.60362 1374    
15:53:42.089422 s151.101.117.67.443   d140.233.174.58.60362 1374    
15:53:42.089442 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.089624 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.090470 s151.101.117.67.443   d140.233.174.58.60362 1374    
15:53:42.090500 s140.233.174.58.60362 d151.101.117.67.443   0       
15:53:42.090960 s151.101.117.67.443   d140.233.174.58.60362 1374    
15:53:42.090961 s151.101.117.67.443   d140.233.174.58.60362 1374    
15:53:42.090961 s151.101.117.67.443   d140.233.174.58.60362 1374    
